'missed', 1095
'give', 887
'indiasupportscaa', 792
'nrc', 511
'please', 429
'citizenship', 240
'show', 228
'amendment', 214
'request', 192
'register', 188
'bjp', 187
'minorities', 179
'friends', 152
'persecuted', 150
'pm', 145
'act', 144
'npr', 142
'bangladesh', 141
'given', 141
'india', 140
'pakistan', 139
'people', 132
'afghanistan', 129
'government', 128
'religiously', 126
'extend', 115
'kindly', 108
'-', 105
'called', 104
'justice', 104
'gave', 103
'brought', 100
"'s", 95
'2019', 91
'ensure', 89
'indiasupportscca', 88
'ji', 85
'historic', 83
'indian', 82
'dial', 77
'act-2019', 77
'free', 73
'caasupport', 73
'isupportcaa', 72
'indiadoessupportcaa', 71
'caa2019', 70
'giving', 68
'5', 67
'toll-free', 65
'calls', 63
'88662', 61
'spread', 59
'modi', 54
'’', 54
'🇮🇳', 54
'endorsement', 53
'indiasupportcaa', 53
'believe', 52
'momentum', 51
"n't", 50
'citizenshipamendmentact', 50
'tag', 50
'campaign', 46
'want', 46
'done', 46
'toll', 45
'stand', 42
'get', 41
'pledge', 41
'wholeheartedly', 41
'launched', 40
'citizens', 40
'rights', 38
'u', 37
'plz', 36
'bill', 36
'goverment', 36
'dialed', 35
'launches', 35
'yet', 34
'pls', 34
'nation', 33
'jai', 33
'indiasupportcca', 33
'one', 32
'dear', 32
'country', 32
'time', 31
'also', 31
'govt', 31
'supporting', 30
'make', 30
'amit', 29
'protest', 29
'supportcaa', 28
'everyone', 28
'cab', 27
'cell', 27
'minister', 26
'ur', 26
'shah', 25
'calling', 25
'hind', 25
'👇', 24
'supporters', 23
'3', 23
'misscall', 23
'🙏', 23
'shri', 23
'law', 22
'narendra', 22
'indians', 22
'☎️', 22
'phone', 21
'99535', 21
'88585', 21
'againstcaa', 21
'humane', 21
'responsibility', 21
'share', 20
'like', 20
'compassion', 20
'legislation', 20
'ensures', 20
'fulfils', 20
'civilisational', 20
'shelters', 20
'sh', 20
'save', 19
'become', 19
'us', 19
'honourable', 19
'full', 19
'let', 19
'sir', 18
'right', 18
'91', 18
'yes', 18
'guys', 18
'caa-2019', 18
'af-pak-ban', 18
'new', 17
'home', 17
'family', 17
"'", 17
'fake', 17
'life', 17
'-8866288662', 17
'party', 16
'thanks', 16
'help', 16
'1', 16
'need', 16
'ethos', 16
'inclusiveness', 16
'population', 15
'gives', 15
'2', 15
'kare', 15
'appeal', 15
'n', 15
'brothers', 15
'का', 15
'solidarity', 15
'nothing', 15
'opportunity', 15
'states', 15
'supports', 14
'media', 14
'following', 14
'go', 14
'cca', 14
'pak', 14
'awareness', 14
'theocratic', 14
'news', 13
'social', 13
'every', 13
'mobile', 13
'मोदी', 13
'शान', 13
'must', 13
'prime', 13
'first', 13
'favour', 13
'--', 13
'good', 13
'retweet', 13
'asking', 12
'propaganda', 12
'numbers', 12
'opposition', 12
'pl', 12
'long', 12
'end', 12
'miscall', 12
'thank', 12
'look', 12
'getting', 12
'k', 12
'hindus', 12
'express', 12
'हूँ', 12
'today', 12
'sikhs', 11
'hinduism', 11
'part', 11
'requested', 11
'r', 11
'know', 11
'already', 11
'wesupportcaa', 11
'vote', 11
'girls', 11
'using', 11
'twitter', 11
'anyone', 11
'way', 11
'come', 11
'works', 10
'used', 10
'netflix', 10
'anti', 10
'members', 10
'हमारी', 10
'आन', 10
'बान', 10
'tweet', 10
'cause', 10
'minority', 10
'nos', 10
'tell', 10
'public', 10
'desh', 10
'ke', 10
'take', 10
'mr', 10
'afghan', 10
'citizenshipammendmentact', 10
'ask', 10
'citizenshipamendmentbill', 10
'amitshah', 10
'hm', 10
'propagated', 9
'tricks', 9
'hindu', 9
'true', 9
'many', 9
'cheap', 9
'control', 9
'try', 9
'hai', 9
'see', 9
'uphold', 9
'harmony', 9
'land', 9
'decades', 9
'sufferings', 9
'ki', 9
'supported', 9
'समर्थन', 9
'caajanjagran', 9
'humanity', 9
'refugees', 9
'movement', 9
'made', 8
'call👉8866288662', 8
'🚩🚩🚩🇮🇳', 8
'real', 8
'1-', 8
'2-', 8
'-8510022222', 8
'hi', 8
'back', 8
'speak', 8
'offer', 8
'safe', 8
'se', 8
'pe', 8
'countries', 8
'bhi', 8
'bharat', 8
'always', 8
'countrymen', 8
'stop', 8
'मैं', 8
'national', 8
'जन', 8
'jan', 8
'happy', 8
'controversial', 7
'read', 7
'subscription', 7
'”', 7
'citizen', 7
'via', 7
'even', 7
'would', 7
'dialing', 7
'without', 7
'muslims', 7
'official', 7
'better', 7
'well', 7
'pr', 7
'ko', 7
'missedcall', 7
'live', 7
'data', 7
'de', 7
'rt', 7
'dail', 7
'join', 7
'launch', 7
'bla', 7
'issued', 7
'answer', 7
'protests', 7
'religious', 7
'nankanasahib', 7
'narendramodi', 7
'4', 7
'search', 7
'करता', 7
'jodhpur', 7
'🙏🇮🇳', 7
'central', 7
'reflects', 7
'delhi', 6
'rahul', 6
'think', 6
'comment', 6
'mynt', 6
"'m", 6
'welfare', 6
'year', 6
'messages', 6
'oppose', 6
'across', 6
'really', 6
'h', 6
'ppl', 6
'response', 6
'liye', 6
'follow', 6
'caaprotests', 6
'leaders', 6
'friend', 6
'citizenshipamendmentact2019', 6
'kar', 6
'🙏🙏', 6
'respected', 6
'serious', 6
'could', 6
'reach', 6
'account', 6
'message', 6
'reason', 6
'job', 6
'favor', 6
'security', 6
'भारत', 6
'नागरिक', 6
'।', 6
'started', 6
'mata', 6
'j', 6
'provide', 6
'✅', 6
'busy', 6
'door', 6
'easy', 6
'away', 6
'president', 6
'❤️', 6
'88662-', 6
'bengal', 6
'ruling', 5
'sunny', 5
'leone', 5
'‘', 5
'times', 5
'“', 5
'*', 5
'relatives', 5
'dirty', 5
'exposed', 5
'ka', 5
'released', 5
'fully', 5
'side', 5
'congress', 5
'desperate', 5
'leader', 5
'waiting', 5
'much', 5
'possible', 5
'beware', 5
'understand', 5
'par', 5
'simple', 5
'regarding', 5
'forward', 5
'next', 5
'say', 5
'bhai', 5
'ek', 5
'jo', 5
'toh', 5
'plzz', 5
'ahead', 5
'different', 5
'counter', 5
'protect', 5
'got', 5
'shared', 5
'pappu', 5
'👉', 5
'valuable', 5
'hands', 5
'islamic', 5
'issue', 5
'talk', 5
'tweeting', 5
'since', 5
'urge', 5
'means', 5
'pro', 5
'campaigns', 5
'lot', 5
'simply', 5
'jammu', 5
'jagran', 5
'future', 5
'great', 5
'organised', 5
'samarthan', 5
'ring', 5
'⬅️', 5
"'done", 5
'persecution', 5
'said', 5
'hon', 5
'thinking', 5
'dont', 5
'buddhists', 5
'jains', 5
'christians', 5
'voice', 5
'nagar', 5
'8866288662🚩', 5
'taking', 5
'mp', 5
'thread', 4
'rajneeti', 4
'asked', 4
'c', 4
'towards', 4
'muslim', 4
'belongs', 4
'target', 4
'growing', 4
'trying', 4
'rw', 4
'joke', 4
'charged', 4
'mamta', 4
'a🤳missed📲', 4
'call👉📱8866288662', 4
'citizenshipammendmentact2019', 4
"'re", 4
'avoid', 4
'gandhi', 4
'passed', 4
'union', 4
"'support", 4
'expect', 4
'came', 4
'mentioned', 4
